0,1,2,3,4,5,6,7,8,9,10,11,12,13
4176.154,4158.077,4184.615,4170.513,4179.744,4161.026,4181.538,4196.538,4192.821,4172.692,4209.359,4194.103,4190.897,4187.308
4185.897,4168.974,4188.205,4173.462,4193.077,4178.59,4198.205,4192.821,4202.051,4177.821,4216.026,4199.103,4201.667,4194.103
4198.974,4180.385,4191.795,4182.436,4190.256,4187.564,4219.231,4209.103,4210.513,4185.641,4221.154,4202.692,4204.231,4198.333
4199.487,4180.128,4192.179,4182.949,4190.769,4182.564,4210.897,4202.179,4204.231,4178.333,4222.179,4200.641,4196.41,4192.821
4199.872,4180.256,4192.821,4185.256,4193.333,4187.051,4189.744,4188.077,4200.0,4168.462,4228.718,4205.641,4198.077,4195.641
4202.692,4186.026,4191.923,4189.872,4189.615,4191.795,4186.667,4194.615,4205.897,4173.462,4233.077,4208.846,4200.0,4201.538
4214.744,4191.923,4205.256,4197.949,4191.026,4189.359,4211.538,4216.795,4220.641,4195.769,4249.872,4223.205,4210.0,4213.077
4224.872,4190.385,4219.487,4201.41,4194.872,4192.436,4232.821,4227.564,4227.564,4211.282,4268.974,4241.538,4222.949,4223.846
4217.564,4187.564,4208.205,4192.564,4191.923,4194.872,4220.897,4208.59,4208.718,4200.641,4256.154,4227.692,4212.949,4213.333
4211.667,4193.462,4194.872,4188.205,4189.615,4187.564,4198.333,4196.667,4202.436,4190.128,4237.564,4204.872,4200.385,4201.667
4215.385,4196.923,4198.077,4192.949,4199.744,4180.256,4198.718,4210.0,4224.615,4193.59,4238.333,4206.538,4202.692,4204.487
4213.718,4189.231,4199.872,4190.0,4207.179,4184.872,4217.821,4216.795,4225.641,4192.692,4233.846,4210.385,4198.718,4205.0
4208.59,4189.615,4197.051,4186.795,4194.103,4194.487,4221.667,4201.026,4198.077,4184.744,4223.462,4202.179,4193.333,4202.179
4210.385,4197.436,4200.385,4193.59,4188.077,4196.026,4206.282,4191.41,4187.821,4178.59,4229.103,4201.795,4198.846,4206.282
4214.231,4196.026,4203.974,4195.128,4195.769,4181.282,4191.923,4203.718,4200.641,4175.641,4234.872,4208.718,4201.41,4207.821
4212.436,4195.0,4201.026,4191.41,4192.308,4172.436,4182.692,4206.667,4197.692,4172.564,4227.821,4207.821,4198.974,4201.282
4212.436,4203.59,4199.872,4198.462,4198.462,4181.026,4181.923,4192.564,4189.487,4174.487,4223.718,4207.051,4198.974,4198.718
4210.385,4202.308,4197.949,4199.103,4201.538,4170.513,4185.513,4192.436,4196.41,4170.769,4215.641,4203.59,4188.205,4196.923
4207.692,4193.974,4195.385,4187.564,4185.897,4162.051,4194.615,4207.692,4202.436,4168.974,4207.051,4200.256,4178.718,4195.128
4204.615,4189.231,4192.564,4182.179,4187.436,4176.538,4202.179,4205.513,4201.154,4179.615,4208.333,4197.821,4182.821,4193.462
4194.103,4176.923,4184.231,4180.385,4194.744,4166.667,4195.0,4200.256,4196.282,4177.308,4203.59,4187.949,4179.872,4187.949
4197.821,4184.231,4186.282,4186.667,4190.128,4155.513,4199.744,4224.615,4212.692,4183.846,4208.077,4194.744,4186.282,4195.897
4208.718,4202.436,4195.0,4192.179,4190.513,4178.718,4214.872,4225.256,4229.231,4203.462,4224.615,4208.59,4205.897,4206.923
4204.231,4197.821,4194.487,4186.923,4199.615,4191.923,4208.462,4200.256,4220.641,4203.718,4226.923,4204.487,4212.436,4203.59
4204.103,4196.026,4197.949,4191.795,4210.513,4180.769,4202.564,4197.949,4213.205,4197.821,4223.462,4201.282,4210.513,4205.256
4207.308,4204.487,4200.256,4198.333,4203.974,4173.333,4206.154,4200.897,4213.205,4196.538,4223.205,4201.026,4205.0,4207.308
4203.462,4204.231,4199.103,4197.692,4193.462,4182.308,4205.897,4201.41,4218.974,4198.59,4223.974,4199.231,4203.846,4202.692
4206.154,4201.538,4203.59,4201.154,4200.769,4190.128,4207.179,4203.846,4218.846,4199.615,4223.462,4200.897,4205.513,4201.282
4205.897,4195.769,4199.744,4197.692,4204.487,4182.949,4204.615,4197.179,4202.949,4185.385,4216.795,4197.949,4195.641,4198.718
4193.974,4181.154,4191.923,4184.615,4185.0,4174.359,4194.872,4196.41,4195.897,4171.41,4209.231,4194.231,4185.769,4192.692
4182.692,4164.744,4188.718,4168.974,4164.744,4160.128,4183.077,4193.462,4194.744,4169.359,4203.077,4193.205,4180.513,4186.795
4187.821,4166.538,4187.308,4165.513,4173.846,4150.128,4184.359,4185.513,4192.564,4173.462,4203.205,4192.051,4183.333,4187.821
4200.769,4186.795,4193.077,4182.179,4191.538,4166.795,4203.974,4200.897,4207.692,4190.769,4212.308,4201.923,4196.795,4198.846
4195.769,4184.872,4192.179,4182.692,4179.359,4177.949,4206.154,4209.487,4210.641,4192.692,4204.872,4202.308,4192.949,4198.846
4187.436,4167.051,4183.974,4166.282,4161.154,4168.59,4193.077,4194.103,4194.872,4177.692,4193.974,4189.359,4181.538,4189.744
4202.051,4178.077,4195.0,4176.026,4176.41,4172.179,4209.615,4203.974,4210.0,4189.487,4209.615,4198.59,4198.205,4202.179
4215.513,4195.897,4208.333,4195.513,4191.667,4176.154,4221.026,4211.538,4222.821,4205.256,4223.333,4212.949,4213.205,4219.487
4212.949,4190.769,4204.231,4192.179,4183.718,4161.667,4193.59,4186.41,4194.359,4190.256,4217.821,4209.359,4201.026,4216.282
4229.487,4198.974,4213.077,4198.974,4195.513,4169.872,4188.333,4191.154,4195.385,4195.385,4232.051,4222.564,4207.949,4223.974
4253.333,4216.923,4230.513,4218.974,4210.256,4195.641,4218.333,4232.821,4237.564,4230.0,4259.103,4248.462,4235.513,4244.615
4233.846,4199.615,4215.513,4202.821,4180.513,4181.154,4215.128,4226.026,4223.974,4219.744,4244.744,4233.205,4223.205,4232.692
4200.128,4169.231,4187.179,4169.615,4148.333,4151.282,4186.154,4177.821,4175.513,4182.564,4213.974,4200.256,4189.744,4204.872
4197.821,4160.641,4180.769,4163.077,4163.462,4152.949,4178.333,4171.923,4182.436,4183.59,4214.744,4201.41,4185.513,4201.923
4207.821,4165.769,4189.615,4172.308,4186.923,4164.359,4185.256,4199.231,4206.41,4195.0,4221.154,4213.462,4192.821,4207.692
4203.462,4172.821,4192.949,4178.077,4185.128,4157.821,4180.256,4196.026,4191.154,4178.462,4205.897,4203.718,4181.795,4199.231
4197.308,4180.128,4189.744,4182.564,4177.949,4147.436,4171.026,4177.308,4176.923,4165.897,4198.462,4193.718,4174.615,4194.744
4206.667,4187.949,4196.026,4191.282,4184.744,4154.231,4184.615,4195.897,4199.487,4189.231,4216.923,4208.974,4193.205,4208.846
