0,1,2,3,4,5,6,7,8,9,10,11,12,13
4200.769,4204.615,4209.872,4225.641,4211.41,4225.897,4208.205,4220.128,4220.0,4233.718,4205.385,4217.692,4221.538,4211.154
4203.077,4201.41,4211.026,4224.744,4209.744,4226.154,4219.487,4223.974,4217.949,4228.846,4202.436,4219.231,4219.487,4212.692
4201.026,4198.846,4207.436,4221.154,4207.692,4216.923,4225.897,4216.795,4207.308,4216.923,4195.769,4216.154,4209.744,4209.615
4201.282,4197.179,4205.769,4220.0,4207.179,4214.231,4226.667,4209.744,4198.974,4207.308,4190.0,4211.026,4200.897,4205.769
4215.641,4207.051,4214.359,4231.795,4215.897,4224.103,4232.179,4217.308,4207.051,4214.744,4199.872,4220.385,4213.718,4215.256
4227.821,4220.0,4224.744,4243.462,4223.462,4227.308,4227.436,4217.436,4212.308,4222.564,4213.333,4231.026,4230.0,4228.59
4225.256,4222.051,4223.846,4244.487,4222.949,4225.897,4213.077,4200.513,4204.231,4221.923,4217.564,4232.051,4232.308,4230.769
4219.744,4216.026,4213.718,4241.41,4222.564,4226.923,4203.846,4187.821,4196.538,4223.59,4212.821,4228.718,4227.564,4225.385
4218.077,4211.538,4208.077,4239.615,4222.821,4222.564,4197.308,4192.692,4198.846,4229.103,4207.692,4225.513,4223.462,4220.897
4215.256,4216.923,4213.846,4241.026,4220.769,4214.615,4196.667,4208.077,4205.513,4233.846,4212.179,4228.462,4224.615,4218.205
4207.436,4217.564,4215.256,4238.59,4214.231,4218.846,4206.154,4213.077,4203.205,4230.0,4209.872,4226.538,4223.077,4211.41
4196.923,4204.487,4204.231,4228.846,4207.692,4226.026,4213.205,4208.59,4197.564,4218.077,4197.436,4216.41,4209.359,4202.436
4193.59,4196.026,4196.795,4221.154,4209.359,4218.59,4213.974,4211.282,4201.026,4214.359,4194.231,4211.41,4197.436,4196.026
4195.513,4198.462,4199.487,4217.564,4211.923,4215.513,4220.897,4220.0,4206.538,4219.615,4197.051,4212.179,4201.923,4194.359
4197.949,4202.436,4204.359,4220.897,4216.538,4227.821,4235.769,4228.462,4210.256,4224.615,4201.154,4216.282,4213.077,4200.897
4204.487,4206.282,4210.513,4228.462,4222.564,4234.744,4239.487,4229.231,4213.205,4225.897,4208.846,4223.077,4214.359,4210.128
4210.128,4212.051,4214.359,4224.231,4222.821,4230.128,4226.154,4219.359,4207.821,4220.385,4212.179,4223.718,4210.0,4211.795
4207.949,4212.436,4210.128,4213.59,4222.051,4226.538,4216.154,4206.154,4199.487,4208.846,4210.385,4215.641,4210.0,4208.59
4205.256,4210.769,4206.667,4214.231,4225.769,4225.385,4212.308,4197.564,4201.026,4205.641,4217.821,4215.128,4214.744,4211.41
4212.179,4216.026,4210.385,4216.538,4228.59,4228.462,4207.692,4196.026,4207.051,4215.513,4234.231,4223.718,4218.846,4217.564
4218.077,4215.0,4206.667,4207.821,4224.103,4233.333,4208.846,4199.103,4210.256,4220.256,4238.077,4224.359,4216.282,4215.769
4212.692,4205.513,4202.436,4204.744,4219.359,4228.59,4214.359,4206.667,4211.667,4215.128,4229.487,4220.513,4211.41,4209.487
4208.205,4201.154,4207.564,4208.59,4214.615,4223.205,4217.179,4214.744,4210.256,4211.923,4225.385,4220.0,4208.077,4207.308
4209.359,4203.462,4209.872,4204.487,4206.667,4221.923,4218.974,4217.692,4209.615,4213.718,4228.846,4221.154,4204.359,4207.564
4212.821,4207.179,4210.385,4206.41,4205.128,4218.59,4222.179,4217.692,4211.026,4215.897,4231.154,4223.974,4207.179,4209.487
4216.667,4209.103,4215.385,4216.538,4211.154,4218.462,4222.821,4215.385,4207.564,4215.641,4231.154,4226.667,4213.846,4209.744
4215.513,4213.205,4215.385,4219.231,4215.641,4222.051,4219.872,4214.487,4205.256,4216.667,4234.103,4223.718,4219.615,4210.897
4212.308,4217.949,4209.872,4217.564,4216.795,4223.333,4216.923,4215.513,4214.231,4223.333,4236.538,4222.308,4221.538,4213.846
4210.513,4213.077,4203.718,4216.41,4216.538,4219.872,4212.949,4209.872,4223.205,4224.744,4230.513,4221.026,4215.128,4207.949
4206.795,4205.128,4199.359,4210.128,4212.821,4220.513,4209.615,4200.0,4223.205,4217.308,4222.949,4214.231,4209.744,4201.923
4204.872,4208.333,4199.744,4206.538,4210.256,4226.282,4203.718,4192.821,4216.795,4211.154,4222.308,4212.564,4211.923,4207.564
4211.923,4214.231,4203.077,4211.41,4212.436,4222.308,4195.897,4189.615,4209.487,4207.051,4225.897,4218.077,4216.154,4214.615
4217.949,4214.359,4207.821,4216.026,4217.179,4212.436,4197.692,4196.795,4212.692,4206.282,4230.769,4222.179,4220.0,4217.051
4214.744,4215.641,4211.41,4216.667,4217.179,4212.308,4210.128,4211.795,4221.538,4209.487,4234.231,4227.436,4221.923,4218.718
4216.538,4218.846,4213.718,4218.59,4212.692,4217.564,4219.615,4220.641,4222.692,4214.744,4235.641,4232.821,4222.179,4220.769
4220.128,4217.821,4215.513,4218.974,4211.41,4212.179,4221.41,4218.59,4214.872,4215.385,4233.205,4227.051,4218.333,4218.462
4219.487,4215.128,4217.564,4219.487,4210.385,4204.744,4220.256,4214.872,4209.615,4209.103,4228.718,4219.615,4211.154,4216.923
4226.026,4221.41,4222.949,4230.897,4214.359,4212.051,4220.385,4219.103,4218.846,4212.308,4236.667,4229.103,4216.538,4223.205
4232.564,4228.59,4222.051,4235.897,4220.256,4217.821,4215.256,4218.718,4224.615,4221.923,4245.128,4231.795,4228.462,4225.897
4232.564,4225.897,4213.974,4226.282,4220.513,4213.974,4205.385,4204.744,4217.051,4223.974,4235.128,4221.923,4226.667,4220.641
4232.179,4223.462,4211.795,4224.487,4219.231,4215.256,4204.231,4192.949,4212.308,4219.615,4223.333,4219.744,4217.949,4217.308
4226.026,4223.077,4211.282,4230.385,4220.769,4222.692,4211.538,4195.385,4216.026,4214.872,4221.923,4219.231,4215.385,4214.615
4223.077,4226.026,4210.385,4232.564,4226.41,4229.744,4218.205,4207.692,4223.974,4218.205,4223.974,4218.462,4220.256,4215.641
4232.692,4231.41,4213.846,4231.154,4228.59,4228.718,4215.256,4214.615,4226.667,4222.949,4226.795,4225.385,4224.615,4222.564
4234.103,4225.256,4215.385,4228.974,4221.282,4217.051,4205.513,4208.846,4218.462,4213.333,4226.41,4228.077,4220.385,4222.436
4223.333,4214.744,4213.846,4226.282,4214.487,4212.308,4208.718,4205.128,4212.821,4203.462,4225.0,4226.41,4216.538,4219.231
4220.641,4212.821,4215.897,4222.436,4210.0,4213.462,4219.615,4210.385,4216.538,4207.821,4226.923,4229.872,4219.359,4221.667
