0,1,2,3,4,5,6,7,8,9,10,11,12,13
4211.538,4211.026,4218.462,4233.205,4209.231,4197.179,4176.538,4188.333,4210.128,4210.641,4195.0,4220.641,4220.128,4210.256
4219.103,4216.795,4220.128,4238.846,4212.692,4185.0,4180.769,4175.0,4195.385,4201.41,4191.154,4220.641,4217.051,4215.256
4216.282,4209.615,4215.769,4236.282,4213.846,4181.282,4194.359,4170.769,4185.897,4191.923,4186.538,4218.077,4207.436,4216.795
4216.923,4207.308,4218.59,4237.308,4213.333,4192.821,4192.051,4171.538,4182.564,4186.923,4183.846,4218.718,4213.077,4219.359
4210.513,4201.795,4214.872,4234.615,4208.846,4198.462,4191.41,4177.821,4179.487,4181.282,4182.308,4215.641,4214.615,4214.872
4193.077,4188.333,4203.718,4221.026,4201.667,4198.077,4201.795,4190.513,4183.974,4178.333,4179.487,4207.692,4200.513,4201.282
4181.41,4180.769,4195.256,4213.462,4198.718,4201.282,4207.179,4205.641,4197.564,4185.513,4174.615,4200.641,4194.231,4191.026
4175.641,4176.41,4183.205,4213.59,4199.615,4203.974,4217.051,4215.256,4210.256,4191.154,4167.564,4193.462,4195.256,4187.179
4168.077,4172.436,4174.103,4214.487,4203.718,4211.154,4230.128,4208.077,4216.026,4192.436,4163.59,4185.256,4191.154,4182.179
4163.974,4173.077,4172.949,4219.103,4206.923,4222.692,4223.59,4198.846,4216.538,4197.821,4161.538,4177.949,4187.692,4178.718
4164.359,4172.564,4170.641,4221.667,4204.231,4223.077,4206.026,4209.103,4220.513,4204.872,4160.897,4178.205,4190.385,4180.513
4168.333,4175.513,4171.923,4219.487,4204.872,4213.59,4201.923,4217.692,4225.256,4208.846,4166.538,4187.051,4195.385,4188.077
4181.41,4185.256,4184.872,4223.59,4210.641,4211.795,4213.205,4212.308,4222.821,4211.154,4175.385,4197.564,4204.487,4196.923
4197.821,4195.128,4200.128,4233.333,4217.308,4214.231,4205.769,4206.026,4217.949,4215.256,4182.692,4209.872,4211.795,4204.744
4205.641,4200.128,4205.769,4236.795,4218.846,4211.282,4187.821,4197.564,4213.077,4216.282,4187.949,4214.615,4215.769,4211.795
4202.564,4197.821,4198.974,4232.564,4211.282,4206.667,4199.103,4182.692,4202.179,4211.282,4192.051,4208.333,4218.974,4209.615
4200.385,4190.256,4192.949,4229.872,4208.333,4201.41,4216.026,4189.359,4197.564,4208.333,4192.436,4204.103,4217.949,4202.564
4202.179,4187.821,4199.615,4235.128,4213.718,4193.077,4200.513,4205.641,4202.564,4210.0,4194.487,4209.103,4216.667,4205.897
4194.872,4188.59,4198.205,4236.538,4209.359,4192.051,4187.179,4184.487,4194.103,4197.821,4189.615,4206.026,4211.41,4207.692
4183.59,4181.41,4185.0,4224.872,4196.154,4206.282,4209.872,4163.59,4180.256,4178.333,4174.744,4193.077,4200.513,4196.795
4180.256,4169.872,4183.846,4219.744,4194.487,4212.051,4223.333,4182.692,4185.0,4180.385,4173.59,4192.308,4196.667,4191.923
4171.795,4156.026,4179.359,4215.385,4192.821,4202.308,4220.641,4197.949,4189.872,4181.538,4170.513,4188.333,4188.077,4188.077
4162.179,4148.205,4163.077,4202.308,4183.205,4203.205,4221.667,4193.59,4188.974,4173.462,4163.077,4174.872,4177.051,4181.538
4167.564,4152.436,4166.667,4202.949,4188.59,4211.282,4207.821,4202.692,4203.333,4187.436,4176.667,4179.359,4188.333,4187.949
4171.795,4156.538,4178.077,4215.897,4203.462,4213.59,4200.128,4214.231,4213.846,4200.641,4186.538,4191.282,4199.872,4192.179
4165.513,4157.308,4174.359,4219.615,4207.179,4217.179,4216.923,4217.564,4208.846,4196.538,4175.513,4189.487,4190.897,4185.0
