0,1,2,3,4,5,6,7,8,9,10,11,12,13
4180.385,4235.385,4187.308,4191.282,4198.59,4218.077,4226.41,4219.487,4207.308,4205.769,4154.615,4196.538,4212.436,4165.128
4189.487,4245.513,4197.564,4195.769,4198.205,4213.333,4217.692,4218.205,4205.0,4215.385,4165.769,4205.897,4224.359,4177.949
4204.103,4256.282,4206.154,4206.667,4202.051,4217.821,4214.615,4220.385,4213.846,4231.154,4178.077,4216.667,4231.923,4189.615
4227.692,4275.256,4222.308,4227.051,4217.692,4224.872,4216.795,4228.59,4237.308,4259.103,4200.128,4237.692,4249.615,4206.282
4226.154,4282.949,4225.128,4229.872,4222.308,4226.795,4218.205,4227.436,4237.436,4259.615,4201.282,4235.897,4247.692,4205.385
4205.897,4274.615,4209.744,4215.641,4217.179,4229.231,4217.308,4217.051,4213.718,4227.821,4175.897,4207.308,4220.128,4183.205
4204.359,4272.949,4201.282,4214.231,4222.564,4228.59,4212.821,4211.154,4204.103,4210.897,4163.59,4192.308,4205.897,4173.974
4216.795,4282.179,4210.385,4221.667,4224.615,4217.051,4203.974,4208.718,4207.692,4211.923,4166.282,4196.923,4212.821,4185.128
4221.026,4288.462,4218.462,4221.282,4213.077,4207.436,4198.718,4202.564,4198.846,4206.154,4165.0,4203.077,4216.795,4192.436
4223.462,4294.744,4215.897,4221.923,4210.641,4210.0,4201.026,4198.077,4190.385,4201.795,4172.308,4209.359,4222.436,4194.231
4221.282,4298.205,4213.718,4223.974,4212.436,4208.718,4202.436,4198.462,4194.231,4204.359,4182.821,4213.462,4226.667,4194.615
4214.103,4288.59,4213.846,4220.513,4202.949,4199.487,4204.615,4203.974,4200.641,4205.385,4180.256,4213.462,4221.026,4191.538
4214.231,4283.333,4214.487,4214.872,4199.615,4197.949,4210.513,4212.436,4207.308,4210.256,4183.205,4218.077,4220.641,4191.538
4217.179,4290.513,4216.538,4214.103,4201.026,4204.231,4208.333,4214.359,4212.436,4217.436,4191.41,4222.821,4224.744,4193.718
4214.359,4293.205,4217.179,4217.949,4197.308,4208.205,4205.256,4209.359,4208.718,4213.974,4186.154,4216.282,4222.308,4190.769
4209.231,4288.59,4210.385,4217.308,4200.897,4211.923,4207.179,4205.897,4199.615,4203.974,4180.128,4207.821,4218.333,4187.821
4206.923,4289.872,4204.744,4213.59,4206.795,4220.897,4202.949,4202.308,4196.282,4201.026,4181.795,4205.641,4218.205,4187.436
4207.692,4297.949,4207.179,4216.026,4206.538,4228.077,4203.333,4200.256,4195.256,4202.436,4183.077,4205.385,4216.538,4183.974
4206.41,4299.359,4205.128,4218.205,4207.692,4221.026,4212.436,4199.103,4187.949,4195.256,4178.59,4201.923,4209.872,4180.256
4203.718,4297.051,4203.974,4215.641,4210.897,4212.821,4209.744,4198.718,4184.487,4189.487,4176.923,4202.308,4209.744,4186.026
4207.821,4300.513,4211.795,4220.513,4214.359,4217.308,4200.769,4202.949,4194.231,4202.564,4188.974,4213.333,4221.026,4197.821
4208.333,4297.051,4213.077,4220.641,4213.59,4218.974,4205.513,4203.974,4202.051,4214.487,4197.436,4218.205,4225.256,4198.462
4203.077,4289.872,4210.897,4209.231,4210.513,4215.128,4219.231,4207.051,4205.897,4212.564,4194.872,4214.744,4216.154,4188.846
4207.308,4295.0,4218.077,4211.795,4212.436,4220.256,4226.026,4220.897,4213.333,4216.026,4197.308,4217.051,4213.718,4186.538
4208.59,4295.385,4216.282,4216.282,4208.59,4223.846,4221.282,4222.821,4212.179,4217.436,4197.564,4216.41,4213.59,4185.513
4198.59,4286.282,4202.821,4206.667,4198.974,4216.41,4211.41,4211.795,4209.872,4210.0,4188.846,4207.051,4207.821,4177.949
4197.821,4292.564,4198.462,4203.205,4199.487,4219.487,4209.103,4213.333,4218.077,4211.026,4188.846,4202.308,4208.333,4175.128
