0,1,2,3,4,5,6,7,8,9,10,11,12,13
4336.154,4083.077,4233.718,4209.744,4178.077,4201.154,4225.897,4207.436,4233.846,4139.744,4234.487,4184.615,4057.308,4405.513
4323.205,4079.231,4220.641,4210.769,4183.59,4203.974,4231.154,4202.308,4230.256,4138.333,4232.179,4175.385,4060.513,4399.359
4316.154,4084.359,4214.103,4217.692,4188.077,4209.615,4231.41,4201.282,4231.41,4141.41,4233.846,4181.41,4060.897,4397.051
4316.282,4088.205,4224.231,4219.103,4184.231,4209.487,4233.077,4201.282,4236.026,4150.513,4244.103,4188.333,4065.897,4404.103
4317.179,4087.436,4233.974,4216.795,4182.821,4204.744,4230.128,4196.923,4235.0,4154.487,4250.897,4191.026,4074.359,4407.564
4314.231,4087.564,4233.205,4220.641,4182.692,4203.718,4219.744,4194.744,4232.564,4150.897,4246.667,4190.641,4072.051,4403.718
4308.333,4090.641,4229.872,4226.026,4181.923,4208.077,4213.462,4199.359,4238.333,4153.974,4245.513,4187.308,4071.41,4402.308
4298.846,4086.667,4224.487,4223.462,4184.615,4214.103,4219.103,4209.103,4247.564,4154.744,4244.231,4182.949,4073.077,4396.41
4282.564,4076.667,4216.026,4214.744,4184.103,4214.231,4223.077,4203.974,4249.615,4143.846,4228.205,4171.667,4063.333,4385.897
4266.795,4076.026,4207.949,4215.256,4181.282,4211.538,4212.179,4184.615,4241.282,4136.154,4215.769,4158.462,4055.128,4378.205
4259.103,4078.846,4206.795,4219.103,4183.462,4208.205,4203.077,4182.949,4237.051,4138.59,4220.256,4159.231,4058.462,4377.051
4258.718,4073.333,4210.513,4215.256,4185.0,4206.282,4207.436,4205.0,4242.821,4147.308,4227.821,4173.333,4058.718,4382.051
4264.744,4072.179,4216.923,4215.769,4185.128,4207.949,4218.846,4221.923,4244.872,4153.59,4235.128,4187.308,4058.59,4385.385
4268.718,4076.667,4225.256,4218.974,4187.564,4207.821,4226.538,4216.667,4235.256,4155.128,4247.436,4194.615,4065.897,4386.282
4267.564,4074.615,4230.641,4217.308,4187.436,4205.641,4224.359,4208.333,4225.513,4161.923,4258.718,4199.231,4075.897,4388.077
4268.974,4069.872,4235.256,4216.538,4185.641,4206.667,4216.923,4216.026,4234.359,4175.513,4268.974,4205.513,4087.564,4388.846
4265.385,4068.077,4234.359,4217.051,4186.923,4211.923,4211.026,4219.359,4242.436,4173.974,4272.564,4206.41,4086.667,4382.692
4249.359,4062.308,4224.359,4212.179,4187.051,4212.821,4210.641,4204.744,4234.872,4156.41,4258.59,4196.923,4076.282,4374.359
4241.026,4060.385,4222.564,4210.769,4186.41,4209.744,4215.128,4197.949,4237.308,4153.077,4247.051,4195.256,4087.051,4373.59
4243.718,4065.513,4229.359,4213.462,4187.564,4211.923,4221.795,4201.667,4248.462,4159.615,4251.538,4204.487,4103.974,4376.282
4232.821,4062.179,4223.333,4208.333,4183.59,4212.179,4217.564,4189.487,4240.769,4157.692,4246.282,4201.667,4098.846,4373.205
4215.256,4050.769,4211.282,4200.641,4172.821,4207.949,4212.564,4184.103,4232.179,4153.205,4232.821,4192.308,4089.359,4367.692
4206.667,4044.359,4211.538,4195.641,4165.256,4207.949,4226.026,4206.41,4239.487,4151.282,4226.923,4191.667,4089.615,4365.385
4205.385,4042.821,4216.154,4196.667,4163.974,4210.385,4237.308,4221.41,4241.41,4152.051,4229.103,4195.385,4095.0,4363.077
4206.41,4047.564,4221.667,4202.436,4167.308,4207.564,4234.615,4221.026,4237.564,4158.974,4240.128,4207.308,4105.513,4363.59
4207.436,4059.744,4232.564,4206.795,4170.897,4205.128,4229.359,4215.256,4231.923,4161.41,4251.282,4221.026,4112.821,4368.974
4211.026,4067.179,4242.051,4210.256,4172.821,4206.282,4224.615,4207.051,4223.59,4156.282,4254.744,4219.487,4115.256,4372.949
4215.128,4067.692,4248.462,4215.897,4175.897,4204.359,4219.103,4208.077,4225.641,4161.154,4259.487,4217.436,4122.821,4372.821
4211.154,4067.949,4251.795,4220.641,4183.205,4202.436,4216.795,4216.667,4237.436,4171.026,4263.077,4227.308,4129.103,4372.308
4198.205,4064.231,4246.154,4217.436,4188.333,4205.897,4217.179,4217.308,4240.641,4165.769,4247.821,4220.0,4117.949,4367.436
4183.846,4051.41,4228.718,4205.256,4179.487,4209.103,4215.769,4210.128,4234.744,4155.128,4230.385,4195.128,4104.231,4356.923
4172.179,4038.077,4214.615,4197.692,4168.974,4208.333,4213.59,4211.538,4239.744,4155.385,4228.205,4183.974,4104.744,4348.974
4162.564,4034.872,4214.744,4201.154,4169.872,4209.744,4212.949,4213.59,4247.051,4157.821,4229.359,4181.538,4103.333,4346.41
4152.436,4034.231,4216.41,4195.897,4172.436,4214.231,4216.282,4208.077,4243.205,4155.128,4226.026,4174.103,4093.718,4342.564
4146.41,4032.949,4211.667,4189.615,4169.615,4216.026,4217.308,4206.026,4239.231,4153.846,4224.103,4173.205,4093.718,4340.0
4147.692,4038.59,4213.077,4198.333,4166.795,4213.333,4217.949,4208.974,4240.641,4155.897,4227.949,4182.308,4105.641,4346.026
4152.692,4050.513,4225.128,4207.564,4169.103,4209.103,4224.615,4213.205,4237.308,4155.897,4233.077,4194.359,4114.744,4354.359
4162.051,4063.077,4234.487,4208.205,4173.846,4208.462,4225.897,4208.846,4227.051,4155.128,4240.769,4205.513,4127.308,4356.282
4167.308,4072.436,4238.59,4208.077,4175.641,4208.333,4218.846,4204.487,4224.487,4157.179,4250.256,4212.692,4145.897,4358.846
4163.59,4081.538,4240.385,4209.872,4173.205,4206.795,4214.487,4207.949,4225.0,4157.179,4251.667,4214.231,4155.513,4364.231
4164.231,4090.128,4238.974,4213.59,4172.821,4203.077,4211.923,4206.282,4221.923,4158.205,4250.385,4212.949,4155.897,4357.051
4159.963,4090.421,4238.828,4214.212,4173.132,4203.773,4210.403,4208.553,4225.623,4156.813,4248.626,4211.978,4157.344,4352.344
4155.696,4090.714,4238.681,4214.835,4173.443,4204.469,4208.883,4210.824,4229.322,4155.421,4246.868,4211.007,4158.791,4347.637
4151.429,4091.007,4238.535,4215.458,4173.755,4205.165,4207.363,4213.095,4233.022,4154.029,4245.11,4210.037,4160.238,4342.93
4147.161,4091.3,4238.388,4216.081,4174.066,4205.861,4205.842,4215.366,4236.722,4152.637,4243.352,4209.066,4161.685,4338.223
4142.894,4091.593,4238.242,4216.703,4174.377,4206.557,4204.322,4217.637,4240.421,4151.245,4241.593,4208.095,4163.132,4333.516
4138.626,4091.886,4238.095,4217.326,4174.689,4207.253,4202.802,4219.908,4244.121,4149.853,4239.835,4207.125,4164.579,4328.81
4134.359,4092.179,4237.949,4217.949,4175.0,4207.949,4201.282,4222.179,4247.821,4148.462,4238.077,4206.154,4166.026,4324.103
4137.179,4096.282,4239.359,4219.103,4186.026,4210.385,4212.821,4238.974,4254.231,4156.667,4251.154,4216.795,4170.769,4322.308
4135.513,4108.718,4239.231,4220.256,4189.231,4211.667,4226.282,4244.615,4252.564,4163.846,4250.513,4217.436,4171.538,4323.077
4138.077,4109.615,4246.795,4221.026,4184.744,4210.128,4229.872,4237.308,4249.103,4172.564,4253.462,4212.821,4173.333,4322.436
4133.718,4098.846,4242.692,4220.128,4182.179,4204.487,4222.436,4219.359,4240.128,4164.231,4251.026,4203.974,4167.308,4315.641
4122.821,4094.231,4230.385,4215.897,4177.949,4203.462,4218.077,4200.0,4229.359,4148.718,4239.103,4195.256,4157.564,4308.077
4117.949,4091.41,4229.359,4210.128,4169.872,4203.462,4212.436,4183.333,4218.333,4140.0,4231.41,4190.128,4150.256,4305.641
4121.923,4088.462,4234.231,4212.821,4171.667,4203.333,4201.795,4173.718,4211.538,4137.308,4228.846,4190.256,4150.769,4308.077
4127.949,4095.513,4236.667,4220.256,4180.513,4202.949,4197.821,4181.41,4217.821,4142.436,4231.154,4198.59,4160.513,4310.769
4128.846,4108.333,4240.128,4221.923,4184.872,4198.59,4200.128,4197.949,4228.718,4148.59,4240.128,4204.487,4171.923,4307.308
4122.692,4111.282,4241.667,4221.667,4184.744,4198.333,4199.103,4209.231,4238.59,4149.872,4247.051,4200.513,4175.0,4303.462
4114.231,4098.205,4240.128,4219.487,4182.821,4201.923,4197.564,4216.538,4245.385,4150.385,4243.462,4199.359,4174.487,4302.949
4109.487,4093.59,4237.821,4217.949,4184.103,4203.718,4204.487,4227.436,4248.077,4153.846,4245.256,4203.077,4184.103,4302.821
4106.026,4104.487,4234.744,4218.974,4185.385,4208.59,4216.026,4237.436,4251.154,4163.077,4258.333,4203.205,4196.154,4301.667
4098.974,4099.872,4231.538,4214.744,4180.769,4211.923,4221.538,4232.949,4249.487,4169.231,4254.744,4198.59,4193.718,4294.615
4089.359,4083.333,4226.795,4209.359,4175.385,4209.615,4218.718,4218.077,4239.103,4155.256,4236.41,4190.641,4181.154,4286.026
4082.436,4080.385,4223.077,4208.718,4172.949,4210.769,4219.231,4208.846,4228.974,4138.205,4230.769,4182.051,4173.59,4285.513
4074.487,4079.359,4216.026,4203.333,4169.103,4212.308,4221.282,4201.667,4222.051,4136.41,4228.718,4173.462,4173.846,4285.0
4068.846,4078.59,4206.41,4202.949,4175.256,4211.026,4220.256,4191.667,4219.872,4136.282,4222.051,4169.744,4177.436,4279.744
4078.974,4098.205,4215.385,4216.026,4191.667,4215.0,4220.256,4193.974,4226.538,4138.718,4234.615,4180.897,4192.179,4282.308
4098.718,4115.128,4238.846,4223.077,4192.949,4214.231,4215.256,4200.128,4233.59,4151.41,4259.487,4204.103,4215.897,4295.0
4106.923,4112.564,4252.051,4222.692,4183.205,4206.41,4207.051,4200.0,4236.795,4164.872,4267.436,4215.128,4232.179,4301.41
4101.282,4110.256,4252.821,4223.974,4185.513,4205.897,4200.513,4208.077,4243.718,4172.436,4263.077,4215.513,4235.385,4296.795
4090.256,4106.795,4250.641,4219.872,4190.0,4209.359,4198.59,4217.436,4248.462,4167.436,4253.846,4213.462,4226.795,4291.026
4074.744,4095.128,4241.667,4210.769,4181.538,4206.538,4205.385,4216.667,4246.154,4157.179,4244.744,4206.795,4217.949,4289.103
4066.667,4089.615,4229.872,4208.718,4173.718,4205.897,4217.051,4221.41,4245.256,4155.769,4247.821,4208.718,4220.0,4287.949
4071.538,4091.282,4228.59,4209.744,4174.103,4211.667,4222.949,4231.41,4247.308,4159.103,4248.462,4213.333,4222.564,4283.718
4069.487,4090.385,4234.744,4208.205,4173.974,4218.974,4225.897,4228.846,4250.385,4156.538,4238.846,4207.308,4211.667,4277.821
4050.128,4083.718,4229.359,4205.769,4171.667,4219.103,4233.077,4218.077,4248.205,4147.436,4227.821,4191.795,4198.846,4269.744
4030.897,4073.077,4211.795,4203.59,4176.282,4213.974,4230.641,4208.59,4238.333,4139.615,4215.769,4175.513,4196.282,4261.282
4028.205,4071.282,4207.051,4201.795,4183.205,4218.718,4220.769,4199.615,4231.41,4134.103,4213.333,4168.462,4200.128,4260.128
4032.821,4076.667,4213.205,4199.615,4177.308,4223.462,4218.333,4196.41,4228.59,4130.385,4224.231,4176.923,4206.923,4266.538
4039.872,4076.282,4215.641,4201.282,4170.256,4214.744,4218.205,4198.59,4222.308,4132.564,4232.179,4188.974,4218.718,4271.538
4047.308,4078.205,4224.103,4206.538,4179.615,4210.385,4215.641,4198.718,4220.897,4139.359,4238.59,4194.615,4230.128,4275.513
4047.949,4083.205,4234.615,4207.308,4186.538,4213.59,4211.154,4192.051,4228.462,4143.462,4242.436,4202.949,4233.462,4275.641
4050.0,4082.308,4231.538,4205.897,4179.744,4207.308,4206.282,4188.462,4234.872,4148.59,4236.154,4204.872,4230.641,4269.744
4056.795,4086.667,4231.795,4213.077,4176.667,4202.308,4198.974,4201.41,4240.0,4154.744,4236.923,4199.103,4231.923,4269.103
4052.179,4090.385,4238.718,4214.231,4176.41,4207.436,4191.154,4217.821,4246.538,4150.0,4249.231,4203.077,4240.769,4274.103
4042.564,4078.462,4231.282,4200.256,4172.051,4211.026,4190.256,4227.308,4254.359,4155.0,4252.308,4214.744,4248.718,4277.692
4043.718,4074.103,4225.256,4196.923,4175.769,4212.949,4201.667,4231.538,4260.897,4172.436,4251.538,4217.821,4253.205,4279.615
4037.564,4079.103,4229.872,4203.974,4183.974,4215.897,4211.923,4229.231,4258.077,4166.795,4249.103,4208.205,4249.103,4272.051
4018.333,4065.641,4222.949,4198.333,4179.231,4217.692,4217.564,4225.256,4250.641,4153.974,4241.667,4198.846,4238.333,4259.231
4001.154,4045.0,4205.128,4183.077,4171.154,4216.41,4226.026,4220.0,4245.641,4151.41,4229.103,4186.667,4230.256,4247.051
3988.333,4044.487,4194.872,4180.769,4170.385,4213.462,4226.667,4204.744,4232.564,4132.949,4206.923,4165.769,4225.513,4237.564
3986.026,4054.744,4196.026,4187.436,4169.872,4213.205,4217.821,4186.795,4215.513,4109.103,4195.256,4158.974,4226.667,4234.231
3997.949,4058.077,4204.359,4193.205,4174.231,4213.333,4216.41,4181.923,4214.615,4117.179,4211.154,4176.538,4239.744,4240.128
4010.513,4061.282,4217.692,4199.872,4185.385,4211.282,4218.974,4185.897,4223.333,4135.256,4229.359,4193.333,4260.256,4246.923
4020.256,4070.897,4232.179,4206.41,4187.821,4210.128,4212.436,4191.795,4225.256,4141.923,4236.923,4200.513,4274.744,4249.487
4033.974,4079.359,4245.256,4212.949,4182.949,4210.513,4205.128,4203.59,4225.641,4152.692,4245.641,4212.179,4282.308,4255.641
4040.769,4080.769,4251.667,4216.667,4188.974,4206.154,4194.487,4217.821,4230.0,4159.744,4251.41,4221.538,4285.385,4259.231
4036.923,4077.692,4248.846,4213.077,4194.872,4201.41,4180.128,4230.0,4239.487,4162.436,4253.333,4221.282,4287.051,4257.179
4037.179,4077.308,4245.641,4210.769,4187.564,4206.026,4183.974,4245.0,4256.795,4181.538,4266.923,4230.769,4300.128,4263.462
4035.385,4074.744,4243.462,4212.308,4184.487,4213.59,4199.872,4255.0,4265.256,4191.923,4272.308,4238.59,4304.615,4263.718
4016.923,4063.333,4232.436,4206.154,4184.359,4214.615,4208.077,4246.154,4255.256,4167.308,4249.615,4217.179,4283.846,4245.769
3995.0,4046.154,4215.513,4193.205,4176.41,4211.795,4210.385,4230.641,4242.051,4143.974,4228.205,4188.462,4270.769,4234.487
3982.692,4034.359,4204.872,4190.256,4172.436,4212.179,4217.821,4224.487,4232.949,4143.205,4224.744,4178.718,4279.744,4235.641
3973.974,4033.205,4201.154,4192.564,4173.974,4218.333,4227.436,4217.564,4223.718,4135.513,4220.128,4174.231,4284.872,4228.846
3967.949,4031.026,4197.051,4187.564,4171.795,4220.128,4234.231,4202.051,4219.359,4120.897,4211.538,4167.436,4282.821,4225.385
3973.333,4030.0,4201.026,4186.923,4176.41,4213.077,4229.487,4191.41,4218.205,4123.59,4210.897,4171.795,4290.513,4235.385
3992.051,4044.487,4218.974,4199.872,4187.179,4210.385,4217.436,4192.949,4219.231,4136.026,4221.923,4190.769,4301.795,4244.744
4009.103,4062.564,4236.026,4211.026,4189.231,4214.487,4216.026,4207.564,4230.128,4147.308,4239.359,4212.436,4312.436,4252.308
4011.026,4063.974,4243.718,4212.436,4187.692,4212.564,4215.128,4223.59,4236.026,4158.205,4252.949,4226.667,4324.872,4255.897
4008.077,4061.282,4247.949,4215.128,4188.718,4208.846,4205.256,4230.256,4232.436,4164.872,4258.718,4229.615,4329.744,4249.103
4010.641,4067.308,4247.821,4219.231,4188.59,4209.359,4197.564,4235.128,4240.385,4169.872,4265.0,4226.41,4329.615,4245.769
4007.564,4066.923,4239.872,4214.615,4188.846,4207.821,4196.923,4243.718,4251.538,4175.769,4264.231,4217.821,4332.564,4250.897
3994.103,4058.077,4228.462,4207.179,4187.436,4208.974,4196.667,4253.333,4251.538,4176.41,4249.487,4207.308,4329.872,4248.462
3981.282,4053.205,4221.154,4202.949,4182.051,4215.641,4200.0,4256.41,4250.128,4171.795,4238.846,4203.205,4320.0,4241.667
3972.179,4044.103,4215.769,4196.282,4177.692,4217.179,4212.821,4247.436,4247.949,4160.0,4233.59,4202.179,4309.615,4241.667
3959.359,4027.051,4203.974,4186.026,4171.538,4213.718,4227.949,4227.821,4236.923,4140.0,4221.026,4191.667,4295.385,4236.667
3948.077,4019.231,4197.051,4185.0,4166.923,4216.154,4233.974,4214.615,4228.462,4129.359,4209.744,4180.0,4279.487,4227.179
3950.769,4027.949,4205.0,4192.821,4175.385,4217.821,4233.462,4211.795,4225.0,4135.897,4212.308,4181.154,4275.128,4227.564
3964.615,4042.564,4214.103,4196.667,4184.487,4214.103,4233.333,4209.103,4221.923,4141.154,4221.667,4190.769,4283.59,4238.077
3977.308,4056.282,4221.667,4200.128,4180.769,4213.077,4229.487,4204.744,4227.051,4138.077,4227.308,4198.846,4291.154,4245.897
3980.0,4061.154,4231.795,4205.897,4173.718,4209.103,4220.128,4201.538,4229.872,4137.949,4229.744,4204.487,4287.821,4243.462
3974.103,4056.282,4234.103,4209.359,4173.077,4203.333,4212.564,4210.256,4226.282,4142.436,4231.923,4210.385,4278.718,4236.41
3968.974,4058.077,4231.41,4210.128,4178.59,4206.667,4208.59,4227.692,4228.462,4143.333,4234.231,4213.59,4276.154,4233.077
3970.385,4065.0,4233.846,4211.026,4185.0,4211.795,4208.077,4236.923,4235.385,4140.128,4235.641,4213.077,4280.0,4233.718
3970.897,4063.59,4233.59,4211.154,4187.692,4210.769,4212.564,4243.205,4236.026,4143.974,4234.744,4210.128,4275.0,4232.564
3965.128,4062.051,4231.41,4208.462,4186.282,4209.359,4212.692,4250.0,4237.308,4155.0,4235.513,4205.769,4265.513,4232.436
3958.59,4061.41,4230.128,4201.667,4183.974,4210.256,4207.692,4241.923,4245.513,4155.128,4233.718,4200.897,4261.41,4231.667
3957.308,4059.103,4222.179,4198.974,4181.923,4211.795,4208.846,4230.769,4251.282,4149.615,4229.744,4195.769,4257.692,4226.282
3960.128,4060.128,4217.821,4203.718,4187.179,4216.154,4219.103,4233.077,4251.41,4154.359,4231.282,4189.744,4254.487,4225.0
3954.872,4059.487,4214.103,4199.359,4187.308,4220.385,4229.872,4233.59,4249.359,4152.436,4227.564,4184.103,4246.538,4223.077
3937.564,4051.41,4203.59,4190.385,4175.641,4216.667,4233.59,4228.462,4243.974,4134.615,4214.487,4180.128,4231.538,4212.949
